Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com
201600000124,16,8,21,1245,1,2,1,1,1,261
201600000125,16,12,10,1000,1,1,1,9,6,601
201600000126,16,12,26,2045,3,1,1,5,3,229
201600000127,16,1,23,1845,1,1,1,1,1,23
201600000128,16,4,3,1630,1,1,1,1,6,595
201600000129,16,2,7,615,5,2,1,2,6,274
201600000130,16,8,23,2115,3,1,1,1,3,136
201600000131,16,10,16,1015,1,2,1,1,6,136
201600000132,16,10,20,1030,1,1,1,1,3,450
201600000133,16,6,20,1500,1,2,1,3,6,139
201600000134,16,6,21,2315,5,2,1,1,6,321
201600000135,16,8,27,2115,5,2,1,1,1,139
201600000136,16,9,3,1730,1,2,1,1,6,139
201600000137,16,9,10,200,3,1,1,1,6,614
201600000138,16,2,5,1530,1,2,2,1,3,382
201600000139,16,5,30,1330,1,1,1,3,1,209
201600000140,16,12,9,1145,1,1,1,1,6,149
201600000141,16,5,27,1700,1,1,1,1,6,595
201600000142,16,7,22,2100,1,1,1,1,7,1
201600000143,16,8,26,2100,1,1,1,1,6,121
201600000144,16,12,15,630,5,2,1,1,6,552
201600000145,16,7,22,1330,1,2,1,1,1,377
201600000146,16,8,8,1700,1,2,1,1,3,97
201600000147,16,8,19,2200,3,1,1,1,2,176
201600000148,16,2,6,1400,1,1,1,1,6,571
201600000149,16,2,24,1345,1,1,1,1,1,289
201600000150,16,6,16,300,3,2,1,1,7,571
201600000151,16,7,8,1830,1,2,1,1,6,571
201600000152,16,9,12,945,1,2,1,1,6,289
201600000153,16,11,2,2230,3,1,1,1,6,608
201600000154,16,2,11,645,2,2,1,1,7,26
201600000155,16,7,2,1400,1,2,1,1,6,224
201600000156,16,8,28,2000,2,2,1,1,3,15
201600000157,16,12,17,2100,5,2,1,2,1,224
201600000158,16,12,21,500,3,1,6,1,7,126
201600000159,16,12,27,1015,1,2,6,1,3,409
201600000160,16,1,28,715,3,2,1,1,6,158
201600000161,16,7,9,2100,1,2,1,1,2,80
201600000162,16,8,30,1500,1,2,1,7,6,29
201600000163,16,9,2,1315,1,1,1,1,4,449
201600000164,16,9,13,1000,1,2,1,1,1,435
201600000165,16,10,14,800,2,1,1,1,6,158
201600000166,16,10,30,1445,1,2,1,1,2,29
201600000167,16,11,19,900,1,1,1,7,3,435
201600000168,16,12,3,1645,1,2,1,1,6,449
201600000169,16,1,29,1645,1,2,1,8,1,53
201600000170,16,2,2,800,2,2,1,2,6,53
201600000171,16,2,25,1100,1,1,1,1,1,283
201600000172,16,2,27,1715,1,2,1,1,7,76
201600000173,16,3,13,1715,1,2,1,1,7,53
201600000174,16,3,16,630,2,1,1,1,1,76
201600000175,16,3,17,1945,3,1,1,1,5,315
201600000176,16,6,8,2245,3,2,1,1,7,283
201600000177,16,8,13,2045,2,1,1,1,6,357
201600000178,16,8,26,100,5,1,1,1,7,357
201600000179,16,9,8,1430,1,1,1,1,7,357
201600000180,16,10,14,445,3,1,1,1,7,357
201600000181,16,12,23,245,3,1,1,9,6,76
201600000182,16,12,29,1730,3,1,1,9,1,357
201600000183,16,3,7,1745,1,1,1,4,4,265
201600000184,16,4,7,845,1,2,1,8,6,481
201600000185,16,4,9,1745,2,1,1,1,7,565
201600000186,16,10,26,1745,1,2,1,5,3,451
201600000187,16,1,10,215,3,1,1,2,6,187
201600000188,16,2,26,1630,1,1,1,1,7,351
201600000189,16,12,13,1745,3,1,1,8,5,572
201600000190,16,2,25,1430,1,1,1,1,1,583
201600000191,16,7,11,1330,1,1,1,1,6,81
201600000192,16,9,14,1700,1,1,1,7,1,414
201600000193,16,11,15,745,2,1,1,5,1,86
201600000194,16,1,7,1900,3,1,1,6,4,887
201600000195,16,2,13,2030,3,1,1,2,6,156
201600000196,16,6,25,1430,1,1,1,1,2,235
201600000197,16,3,19,2315,3,1,1,1,2,751
201600000198,16,4,16,1815,1,1,9,1,4,474
201600000199,16,4,18,1145,1,1,1,1,6,496
201600000200,16,7,24,1700,1,1,1,1,3,758
201600000201,16,8,13,2215,3,1,1,1,2,354
201600000202,16,9,28,745,1,1,1,1,2,354
201600000203,16,11,9,1200,1,1,1,3,3,560
201600000204,16,12,1,730,1,1,1,1,1,894
201600000205,16,12,29,1830,3,1,1,1,3,894
201600000206,16,6,10,1800,1,2,3,1,3,421
201600000207,16,7,24,1945,1,2,2,1,3,440
201600000208,16,8,29,845,1,2,1,1,3,593
201600000209,16,6,7,930,1,2,1,1,6,422
201600000210,16,6,7,1715,1,2,1,3,7,583
201600000211,16,7,15,1145,1,1,1,1,7,135
201600000212,16,8,6,2115,2,1,1,1,6,216
201600000213,16,11,21,1800,5,2,1,1,6,332
201600000214,16,11,21,1700,2,1,2,1,3,151
201600000215,16,11,30,1415,1,2,1,1,3,181
201600000216,16,1,19,1145,1,2,1,7,6,284
201600000217,16,8,3,245,3,1,1,2,6,306
201600000218,16,9,7,1700,1,2,1,7,7,781
201600000219,16,1,5,1230,1,1,1,1,7,1
201600000220,16,1,24,615,1,1,1,2,7,73
201600000221,16,6,1,1530,1,1,1,1,1,589
201600000222,16,7,4,715,1,2,1,2,6,801
201600000223,16,12,25,1830,3,1,1,2,6,371
201600000224,16,1,17,2130,3,1,1,1,5,306
201600000225,16,5,19,1500,1,1,1,8,7,873
201600000226,16,5,26,1900,1,2,6,1,6,646
201600000227,16,11,22,945,3,1,1,1,2,164
201600000228,16,12,10,1845,3,1,1,9,1,582
201600000229,16,7,1,900,1,1,1,1,1,865
201600000230,16,7,26,1030,1,1,1,1,6,355
201600000231,16,10,14,1700,1,1,6,1,3,173
201600000232,16,11,14,445,3,1,1,8,2,865
201600000233,16,11,28,745,2,2,1,1,2,865
201600000234,16,3,3,830,1,1,1,1,6,564
201600000235,16,4,10,515,2,2,1,1,1,391
201600000236,16,5,8,1900,1,2,1,1,1,900
